************ Run 76_4He - theta-discrepancies > 0°.2 ***********
  Evt: 248   theta_fit: 53.9263   theta_deg: 53.6537
  Evt: 323   theta_fit: 55.8831   theta_deg: 55.4144
  Evt: 698   theta_fit: 176.927   theta_deg: 177.169
  Evt: 937   theta_fit: 57.2607   theta_deg: 56.9541
  Evt: 1444   theta_fit: 52.6496   theta_deg: 52.2234
  Evt: 1997   theta_fit: 52.239   theta_deg: 51.9174
  Evt: 2166   theta_fit: 52.754   theta_deg: 52.4459
  Evt: 2184   theta_fit: 49.7228   theta_deg: 49.4481
  Evt: 2302   theta_fit: 52.3577   theta_deg: 52.0286
  Evt: 2608   theta_fit: 57.2735   theta_deg: 57.0433
  Evt: 2703   theta_fit: 51.6439   theta_deg: 51.3095
  Evt: 2710   theta_fit: 52.8488   theta_deg: 52.4581
  Evt: 2726   theta_fit: 51.7589   theta_deg: 51.3003
  Evt: 2747   theta_fit: 48.7663   theta_deg: 48.5165
  Evt: 2794   theta_fit: 50.4018   theta_deg: 50.085
  Evt: 3344   theta_fit: 54.3567   theta_deg: 53.7944
  Evt: 3444   theta_fit: 55.5796   theta_deg: 55.0516
  Evt: 3554   theta_fit: 53.5568   theta_deg: 53.315
  Evt: 3731   theta_fit: 53.2031   theta_deg: 52.9677
  Evt: 3732   theta_fit: 53.6506   theta_deg: 53.3572
  Evt: 3901   theta_fit: 53.9808   theta_deg: 53.6197
  Evt: 3916   theta_fit: 50.912   theta_deg: 50.5577
  Evt: 3920   theta_fit: 54.4263   theta_deg: 53.9598
  Evt: 4108   theta_fit: 55.6311   theta_deg: 55.276
  Evt: 4188   theta_fit: 53.6991   theta_deg: 53.3029
  Evt: 4357   theta_fit: 53.8522   theta_deg: 53.5128
  Evt: 4362   theta_fit: 56.3194   theta_deg: 55.9079
  Evt: 4504   theta_fit: 49.8239   theta_deg: 49.5994
  Evt: 4524   theta_fit: 53.0761   theta_deg: 52.8548
  Evt: 4799   theta_fit: 53.955   theta_deg: 53.4731
  Evt: 4810   theta_fit: 51.3207   theta_deg: 51.1192
  Evt: 4846   theta_fit: 51.4838   theta_deg: 51.2594
  Evt: 5025   theta_fit: 56.2529   theta_deg: 55.6233
  Evt: 5113   theta_fit: 53.6514   theta_deg: 53.3599
  Evt: 5200   theta_fit: 51.0282   theta_deg: 50.7425
  Evt: 5213   theta_fit: 54.2412   theta_deg: 52.3927
  Evt: 5395   theta_fit: 54.6719   theta_deg: 54.4539
  Evt: 5546   theta_fit: 53.8741   theta_deg: 53.6534
  Evt: 5614   theta_fit: 55.8759   theta_deg: 55.6255
  Evt: 5824   theta_fit: 57.661   theta_deg: 57.4238
  Evt: 5871   theta_fit: 49.2822   theta_deg: 49.0376
  Evt: 5930   theta_fit: 55.1511   theta_deg: 54.7885
  Evt: 5961   theta_fit: 54.879   theta_deg: 54.511
  Evt: 6085   theta_fit: 5.52908   theta_deg: 5.22558
  Evt: 6247   theta_fit: 53.2464   theta_deg: 52.9387
  Evt: 6335   theta_fit: 49.6848   theta_deg: 48.3973
  Evt: 6358   theta_fit: 55.3223   theta_deg: 54.9806
  Evt: 6511   theta_fit: 55.4991   theta_deg: 55.1288
  Evt: 6673   theta_fit: 54.8823   theta_deg: 54.6358
  Evt: 6985   theta_fit: 53.3183   theta_deg: 53.0048
  Evt: 7069   theta_fit: 51.2935   theta_deg: 50.9312
  Evt: 7247   theta_fit: 52.547   theta_deg: 52.1678
  Evt: 7315   theta_fit: 39.6107   theta_deg: 36.9413
  Evt: 7426   theta_fit: 51.9776   theta_deg: 51.6856
  Evt: 7655   theta_fit: 55.865   theta_deg: 55.1649
  Evt: 7996   theta_fit: 49.3759   theta_deg: 49.1167
  Evt: 8009   theta_fit: 49.7106   theta_deg: 49.5034
  Evt: 8069   theta_fit: 52.8004   theta_deg: 52.4889
  Evt: 8256   theta_fit: 52.6496   theta_deg: 52.301
  Evt: 8395   theta_fit: 53.7865   theta_deg: 53.54
  Evt: 9074   theta_fit: 55.9089   theta_deg: 55.6741
  Evt: 9077   theta_fit: 48.7426   theta_deg: 48.4753
  Evt: 9178   theta_fit: 53.3139   theta_deg: 53.0494
  Evt: 9213   theta_fit: 57.4954   theta_deg: 57.2543
  Evt: 9246   theta_fit: 54.4112   theta_deg: 54.1548
  Evt: 9733   theta_fit: 53.2988   theta_deg: 53.0644
  Evt: 9803   theta_fit: 51.9543   theta_deg: 51.7458
  Evt: 10034   theta_fit: 53.4333   theta_deg: 53.0577
  Evt: 10363   theta_fit: 55.8269   theta_deg: 55.513
  Evt: 10560   theta_fit: 50.9053   theta_deg: 50.6606
  Evt: 10656   theta_fit: 54.6875   theta_deg: 54.3249
  Evt: 10684   theta_fit: 53.6569   theta_deg: 53.2716
  Evt: 10796   theta_fit: 52.0338   theta_deg: 51.637
  Evt: 11041   theta_fit: 58.3209   theta_deg: 58.0948
  Evt: 11129   theta_fit: 63.1616   theta_deg: 62.825
  Evt: 11137   theta_fit: 51.9284   theta_deg: 51.5753
  Evt: 11140   theta_fit: 49.0275   theta_deg: 48.5593
  Evt: 11187   theta_fit: 63.6787   theta_deg: 63.2165
  Evt: 11410   theta_fit: 51.0002   theta_deg: 50.7413
  Evt: 11462   theta_fit: 53.7609   theta_deg: 53.3439
  Evt: 11502   theta_fit: 61.6385   theta_deg: 61.4069
  Evt: 11712   theta_fit: 53.071   theta_deg: 52.8357
  Evt: 11743   theta_fit: 52.3066   theta_deg: 52.0432
  Evt: 11980   theta_fit: 51.9103   theta_deg: 51.5107
  Evt: 12202   theta_fit: 51.7734   theta_deg: 51.2338
  Evt: 12406   theta_fit: 50.8534   theta_deg: 50.6212
